,country,commodity,year,food_supply_stage,loss_percentage,cause_of_loss,main_key
525,united states of america,orange juice,2016,whole supply chain,46.3559,[],united states of america_orange juice_whole supply chain
526,united states of america,"other beans, green",2016,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
527,azerbaijan,grapes,2016,whole supply chain,2.08,[],azerbaijan_grapes_whole supply chain
528,azerbaijan,"eggs, dried",2016,whole supply chain,0.41,[],"azerbaijan_eggs, dried_whole supply chain"
529,united states of america,potatoes,2016,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
530,azerbaijan,oats,2016,whole supply chain,6.95,[],azerbaijan_oats_whole supply chain
531,united states of america,lettuce and chicory,2016,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
532,azerbaijan,"onions and shallots, green",2016,whole supply chain,5.37,[],"azerbaijan_onions and shallots, green_whole supply chain"
533,united states of america,"hen eggs in shell, fresh",2016,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
534,azerbaijan,potatoes,2017,whole supply chain,3.63,[],azerbaijan_potatoes_whole supply chain
535,azerbaijan,"onions and shallots, green",2017,whole supply chain,5.37,[],"azerbaijan_onions and shallots, green_whole supply chain"
536,azerbaijan,grapes,2017,whole supply chain,2.08,[],azerbaijan_grapes_whole supply chain
537,united states of america,lettuce and chicory,2017,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
538,united states of america,grapefruit juice,2017,whole supply chain,47.6184,[],united states of america_grapefruit juice_whole supply chain
539,united states of america,"hen eggs in shell, fresh",2017,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
540,united states of america,potatoes,2017,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
541,azerbaijan,"eggs, dried",2017,whole supply chain,0.5,[],"azerbaijan_eggs, dried_whole supply chain"
542,united states of america,cabbages,2017,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
543,azerbaijan,oats,2017,whole supply chain,6.56,[],azerbaijan_oats_whole supply chain
544,azerbaijan,"meat of goat, fresh or chilled",2017,whole supply chain,0.49,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
545,azerbaijan,tomatoes,2017,whole supply chain,5.69,[],azerbaijan_tomatoes_whole supply chain
546,azerbaijan,wheat,2017,whole supply chain,5.95,[],azerbaijan_wheat_whole supply chain
547,united states of america,"other beans, green",2017,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
548,united states of america,carrots and turnips,2017,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
549,ghana,maize (corn),2017,storage,4.1,[],ghana_maize (corn)_storage
550,united states of america,orange juice,2017,whole supply chain,47.7591,[],united states of america_orange juice_whole supply chain
551,azerbaijan,tomatoes,2018,whole supply chain,5.69,[],azerbaijan_tomatoes_whole supply chain
552,ghana,maize (corn),2018,storage,5.18,[],ghana_maize (corn)_storage
553,azerbaijan,"meat of goat, fresh or chilled",2018,whole supply chain,0.95,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
554,azerbaijan,"onions and shallots, green",2018,whole supply chain,5.37,[],"azerbaijan_onions and shallots, green_whole supply chain"
555,azerbaijan,oats,2018,whole supply chain,6.56,[],azerbaijan_oats_whole supply chain
556,azerbaijan,grapes,2018,whole supply chain,2.08,[],azerbaijan_grapes_whole supply chain
557,ethiopia,maize (corn),2018,storage,14.0,"mould development, insect pests, rodents, wild animals and domestic animals",ethiopia_maize (corn)_storage
558,azerbaijan,potatoes,2018,whole supply chain,3.71,[],azerbaijan_potatoes_whole supply chain
559,azerbaijan,"eggs, dried",2018,whole supply chain,0.5,[],"azerbaijan_eggs, dried_whole supply chain"
560,azerbaijan,wheat,2018,whole supply chain,5.95,[],azerbaijan_wheat_whole supply chain
561,united states of america,grapefruit juice,2018,whole supply chain,45.8415,[],united states of america_grapefruit juice_whole supply chain
562,united states of america,"hen eggs in shell, fresh",2018,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
563,united states of america,lettuce and chicory,2018,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
564,united states of america,orange juice,2018,whole supply chain,48.7721,[],united states of america_orange juice_whole supply chain
565,united states of america,"other beans, green",2018,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
566,united states of america,potatoes,2018,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
567,united states of america,cabbages,2018,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
568,united states of america,carrots and turnips,2018,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
569,united republic of tanzania,maize (corn),2018,storage,4.633333333333334,[],united republic of tanzania_maize (corn)_storage
570,united republic of tanzania,maize (corn),2018,farm,5.525,[],united republic of tanzania_maize (corn)_farm
571,kenya,maize (corn),2018,storage,10.9375,[],kenya_maize (corn)_storage
572,united states of america,cabbages,2019,whole supply chain,10.2,[],united states of america_cabbages_whole supply chain
573,united states of america,"other beans, green",2019,whole supply chain,7.0,[],"united states of america_other beans, green_whole supply chain"
574,azerbaijan,"eggs, dried",2019,whole supply chain,0.5,[],"azerbaijan_eggs, dried_whole supply chain"
575,united states of america,potatoes,2019,whole supply chain,4.0,[],united states of america_potatoes_whole supply chain
576,azerbaijan,grapes,2019,whole supply chain,2.08,[],azerbaijan_grapes_whole supply chain
577,ethiopia,maize (corn),2019,storage,3.707142857142857,[],ethiopia_maize (corn)_storage
578,united states of america,carrots and turnips,2019,whole supply chain,7.5,[],united states of america_carrots and turnips_whole supply chain
579,united states of america,grapefruit juice,2019,whole supply chain,47.9738,[],united states of america_grapefruit juice_whole supply chain
580,azerbaijan,wheat,2019,whole supply chain,5.95,[],azerbaijan_wheat_whole supply chain
581,azerbaijan,"meat of goat, fresh or chilled",2019,whole supply chain,0.95,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
582,azerbaijan,"onions and shallots, green",2019,whole supply chain,9.1,[],"azerbaijan_onions and shallots, green_whole supply chain"
583,azerbaijan,tomatoes,2019,whole supply chain,5.69,[],azerbaijan_tomatoes_whole supply chain
584,united states of america,"hen eggs in shell, fresh",2019,whole supply chain,1.5,[],"united states of america_hen eggs in shell, fresh_whole supply chain"
585,azerbaijan,oats,2019,whole supply chain,6.57,[],azerbaijan_oats_whole supply chain
586,united states of america,lettuce and chicory,2019,whole supply chain,8.0,[],united states of america_lettuce and chicory_whole supply chain
587,azerbaijan,potatoes,2019,whole supply chain,3.8,[],azerbaijan_potatoes_whole supply chain
588,azerbaijan,tomatoes,2020,whole supply chain,5.7,[],azerbaijan_tomatoes_whole supply chain
589,azerbaijan,"meat of goat, fresh or chilled",2020,whole supply chain,0.95,[],"azerbaijan_meat of goat, fresh or chilled_whole supply chain"
590,azerbaijan,"eggs, dried",2020,whole supply chain,0.49,[],"azerbaijan_eggs, dried_whole supply chain"
591,azerbaijan,grapes,2020,whole supply chain,2.08,[],azerbaijan_grapes_whole supply chain
592,azerbaijan,"onions and shallots, green",2020,whole supply chain,8.68,[],"azerbaijan_onions and shallots, green_whole supply chain"
593,azerbaijan,oats,2020,whole supply chain,6.57,[],azerbaijan_oats_whole supply chain
594,azerbaijan,potatoes,2020,whole supply chain,3.85,[],azerbaijan_potatoes_whole supply chain
595,azerbaijan,wheat,2020,whole supply chain,4.55,[],azerbaijan_wheat_whole supply chain
596,malawi,maize (corn),2021,storage,8.5,[],malawi_maize (corn)_storage
597,china,rice,2021,storage,1.605,[],china_rice_storage
